,OMA Sum rate,Architecture Sum rate,Baseline Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Baseline NOMA Pairs,Fixed NOMA Outage
13,298.50921391316183,450.92690522325944,456.5140894815637,402.6128243599276,4,15,16,12
14,298.50921391316183,450.92690522325944,456.5140894815637,402.6128243599276,4,15,16,12
15,226.66310144165197,396.73947224676306,402.57471117412865,285.9840389546014,5,16,16,11
16,226.66310144165197,396.73947224676306,402.57471117412865,285.9840389546014,5,16,16,11
17,269.6378808542844,425.43217009649953,436.9572414797151,364.38912074948405,5,15,16,11
18,269.6378808542844,425.43217009649953,436.9572414797151,364.38912074948405,5,15,16,11
19,228.6439737561394,448.17523455701905,449.5835276147712,276.8566462202458,5,18,18,13
20,298.37993510186163,463.91994564816093,463.91994564816093,382.81258556374985,5,14,14,9
0,298.37993510186163,463.91994564816093,463.91994564816093,382.81258556374985,5,14,14,9
1,298.37993510186163,463.91994564816093,463.91994564816093,382.81258556374985,5,14,14,9
2,305.91515003781325,423.5819807243081,423.5819807243081,368.97602090611315,2,13,13,11
3,259.7259399488974,436.690755422399,436.690755422399,273.5176224176487,2,16,16,14
4,266.8841954544589,415.8329836134236,415.8329836134236,353.60849414689574,3,13,13,10
5,231.41681948669623,403.9973356021874,404.76682416536136,258.7475232597038,2,14,13,11
6,305.07431851187573,438.0691046266485,438.38492158768395,358.6757820534315,3,13,13,10
7,275.0308882195806,428.61194477400863,428.61194477400863,309.474239244159,3,13,13,10
8,335.212786379712,411.1782523160993,411.1782523160993,335.212786379712,0,7,7,7
9,229.8999978534963,426.69883870795616,426.69883870795616,264.18990582607967,5,14,14,9
10,241.6695648073924,422.1758840973364,423.9267296388021,291.3134331631986,6,15,14,8
11,266.9468357497531,434.45328408434426,434.4617332537731,302.7069186331856,3,16,16,13
12,266.9468357497531,434.45328408434426,434.4617332537731,302.7069186331856,3,16,16,13
13,294.4798964944616,459.1028647413692,465.6887119558288,482.33384521234564,8,16,16,8
14,248.1847392670258,413.1048144775682,418.8634112360918,282.40513797641444,3,17,17,14
15,248.1847392670258,413.1048144775682,418.8634112360918,282.40513797641444,3,17,17,14
16,268.61379387673446,459.7495113227764,461.0058010951494,308.51170088091106,3,16,17,14
17,301.9885564906007,433.9964367262342,433.9964367262342,308.4342739956668,1,11,11,10
18,204.90001870288708,394.1346838950344,399.0376681372652,223.2086959884142,3,16,18,15
19,204.90001870288708,394.1346838950344,399.0376681372652,223.2086959884142,3,16,18,15
20,255.20529115768448,407.03932368652863,410.2078000743648,397.7317761529718,6,14,14,8
21,255.20529115768448,407.03932368652863,410.2078000743648,397.7317761529718,6,14,14,8
22,252.20605003594414,420.4049185056306,420.4049185056306,269.98409021197244,2,12,12,10
23,276.7556075167295,431.11508965424014,433.6080134457655,368.20425731527763,4,16,16,12
0,258.6769507855398,394.6556090923243,397.3831493085539,296.722880420535,4,15,14,10
1,258.00918179886173,443.1876744968355,443.1876744968355,294.7894877698662,2,15,15,13
2,233.36994212685278,431.2290763744961,434.4910207937209,354.11843611039757,6,17,17,11
3,287.8988273342794,461.86502852335946,462.86502852335946,422.8839236712703,5,15,15,10
4,295.073991668486,483.9918174592848,483.9918174592848,369.86124299664556,6,16,16,10
5,266.01535984845634,454.98270523420376,461.5339338252828,292.90967583254724,3,16,19,16
6,266.01535984845634,454.98270523420376,461.5339338252828,292.90967583254724,3,16,19,16
7,266.01535984845634,454.98270523420376,461.5339338252828,292.90967583254724,3,16,19,16
8,248.76477833809741,411.3553963534669,411.36005257257085,344.39180821855666,5,15,14,9
9,248.76477833809741,411.3553963534669,411.36005257257085,344.39180821855666,5,15,14,9
10,233.40219834004117,394.1771679433176,396.4402600210933,278.8328794043117,4,19,17,13
11,241.98814224475547,433.415605302051,436.7429028256057,295.9559085127107,5,18,17,12
12,198.79331541588343,408.41326923728866,424.38850663122093,287.78408947090105,7,19,20,13
13,198.79331541588343,408.41326923728866,424.38850663122093,287.78408947090105,7,19,20,13
14,198.79331541588343,408.41326923728866,424.38850663122093,287.78408947090105,7,19,20,13
15,250.95089732827466,443.8292815435282,448.2999039979558,311.3701623696834,6,17,16,10
16,339.3672682827317,455.3678861184503,455.7856657958598,402.1786823802335,4,13,12,8
17,339.3672682827317,455.3678861184503,455.7856657958598,402.1786823802335,4,13,12,8
18,272.56667524905515,468.23420519984217,471.70738260657095,360.89486561851425,5,14,15,10
19,215.67759715387004,445.6502917387542,445.6502917387542,365.7439796257192,9,16,16,7
20,251.38989976494395,400.77543204674157,400.77543204674157,279.63273374886995,5,14,14,9
0,247.8419347291882,361.4659891185246,362.61043600254743,299.31815959239884,1,14,14,13
1,247.8419347291882,361.4659891185246,362.61043600254743,299.31815959239884,1,14,14,13
2,241.5353728690066,387.92310276849105,387.92310276849105,247.8744150911634,3,13,13,10
3,299.9250399219776,450.2726691868276,450.8472211560645,374.5461023243889,5,12,12,7
4,224.01727850445616,442.378674527356,444.94075240883444,277.4054001471713,2,16,18,16
5,253.76229466091797,438.79240649918097,446.57642341324146,351.8944758565877,8,15,15,7
6,253.76229466091797,438.79240649918097,446.57642341324146,351.8944758565877,8,15,15,7
7,275.95041920870585,436.21082608120605,437.08024888028683,292.95107623537,3,16,15,12
8,229.17535664396965,407.94541233275004,408.1391856398171,333.0053752519118,5,16,17,12
9,229.17535664396965,407.94541233275004,408.1391856398171,333.0053752519118,5,16,17,12
10,229.17535664396965,407.94541233275004,408.1391856398171,333.0053752519118,5,16,17,12
11,223.25288473474905,401.36603473633016,401.7087489252555,242.18270457888266,2,16,16,14
12,277.3982874305792,445.0992748315533,445.09927483155326,313.05055580744806,4,12,12,8
13,224.1453547876353,400.6211631589889,400.9532332926814,250.96336600647268,4,19,19,15
14,224.1453547876353,400.6211631589889,400.9532332926814,250.96336600647268,4,19,19,15
15,224.1453547876353,400.6211631589889,400.9532332926814,250.96336600647268,4,19,19,15
16,324.6909150158943,439.98603145763116,439.98603145763116,343.35666468351013,4,10,10,6
17,264.94909577036043,428.90255987605974,428.90255987605974,351.8352066816454,4,15,15,11
18,256.0916604809433,438.1419078844209,438.1419078844209,315.93520590907065,4,15,15,11
19,256.0916604809433,438.1419078844209,438.1419078844209,315.93520590907065,4,15,15,11
20,222.24001521314656,414.25933394874653,414.32775039751425,347.73879514766537,8,16,15,7
21,245.62758049505527,439.163062199008,441.2732223320669,329.55335321060807,4,15,15,11
22,224.7605706426801,401.830307650508,410.2713344356047,270.2087627065047,2,18,18,16
23,251.59125539843893,410.16147316480897,410.16147316480897,262.2476747331839,2,16,16,14
24,226.02515671053075,397.7517905087897,400.0591556730495,294.5360275581733,4,17,17,13
25,244.51350988803267,370.0692846329445,370.0692846329445,331.3459942311888,4,13,13,9
26,301.72419737373303,444.30714852658286,444.9423733631014,322.2761870888703,2,13,12,10
27,236.9722921412383,358.6010539096123,358.6010539096123,282.72319237041967,2,12,12,10
28,317.4929174620506,416.9349591787883,416.9349591787883,317.4929174620507,0,10,10,10
29,317.4929174620506,416.9349591787883,416.9349591787883,317.4929174620507,0,10,10,10
30,231.8313595112886,419.8863128871048,419.88631288710474,311.19084356289625,4,17,17,13
31,218.55373227804904,422.78528459799816,424.8295223210728,331.5782352554522,7,16,17,10
32,196.6277740974555,384.44242750521937,384.44242750521937,304.6825251469729,6,15,15,9
