,OMA Sum rate,Architecture Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Fixed NOMA Outage
205,49.95244956617584,73.03882878536399,53.89226018805309,1,3,2
206,28.546274889504247,40.98455241175913,28.546274889504247,0,3,3
207,28.546274889504247,41.20978805528175,28.546274889504247,0,3,3
208,44.63654234401549,67.4679055887911,49.5360558182203,1,3,2
209,44.63654234401549,67.4679055887911,49.5360558182203,1,3,2
210,70.32441762827472,80.41709235648315,123.37969514201771,2,2,0
211,27.656872793549923,72.23227448254491,27.465175882711105,1,2,1
212,27.656872793549923,72.23227448254491,27.465175882711105,1,2,1
213,46.443358525967085,63.685009144137354,46.443358525967085,0,1,1
214,58.079436480205175,81.59785419219882,85.28864239741796,1,2,1
215,58.079436480205175,81.59785419219882,85.28864239741796,1,2,1
216,40.74834375855967,62.50160562847888,40.94522488342259,1,2,1
217,61.154745977696436,68.51388398072253,61.154745977696436,0,2,2
218,61.154745977696436,68.51388398072253,61.154745977696436,0,2,2
219,38.592548764202334,65.0936855047644,78.0755517089468,2,2,0
220,55.22975287324539,71.5808183027717,58.371779049595006,1,2,1
221,55.22975287324539,71.92647189826378,55.22975287324539,0,2,2
222,51.48149170581448,52.960566795655154,51.48149170581448,0,1,1
223,54.6482485319993,69.91534459595938,54.6482485319993,0,2,2
224,54.6482485319993,69.91534459595938,54.6482485319993,0,2,2
225,72.81883591891823,81.80453574105132,72.81883591891824,0,1,1
226,69.89271453663805,90.11710345704425,69.89271453663804,0,2,2
227,69.89271453663805,90.11710345704425,69.89271453663804,0,2,2
228,52.48944453758063,78.70168463208054,52.489444537580624,0,2,2
229,75.69150958546837,98.54143127210457,75.69150958546837,0,2,2
230,75.69150958546837,98.54143127210457,75.69150958546837,0,2,2
231,31.425248536633816,51.82733666741882,65.53450200584393,2,2,0
232,36.25758333169078,65.9643536714113,36.25758333169078,0,1,1
233,36.25758333169078,65.9643536714113,36.25758333169078,0,1,1
234,21.22828798060669,63.029026277517204,42.281261659419805,2,3,1
235,50.92430520325558,51.9637073062198,54.51320002050197,1,1,0
236,50.92430520325558,51.9637073062198,54.51320002050197,1,1,0
237,60.57603351826301,80.08561745228718,60.57603351826301,0,2,2
238,40.02364119655007,65.88416316190326,46.60638897117856,2,2,0
239,40.02364119655007,65.88416316190326,46.60638897117856,2,2,0
240,66.56667775041642,79.5442908116452,81.20986376241757,1,2,1
241,66.56667775041642,79.5442908116452,81.20986376241757,1,2,1
242,74.47397264801745,78.48712828992396,84.5401475645767,1,1,0
243,36.46286389260088,47.81157795802062,44.07227514555674,1,2,1
